Tesla C2050
Repeating	Image size	scale_xy	scale_eps	kernel_xy_size	kernel_eps_size	cubefilling	convolution	slicing	time to allocate	time copy memory	time to free	komplete time

4	51	1	1	1	1	0.027616	2.460352	0.027520	1.048384	0.065216	0.766944	18.244352
4	51	1	1	1	6	0.038112	2.634368	0.024800	1.068416	0.059008	0.760512	10.654624
4	51	1	1	1	11	0.027872	2.766368	0.024000	1.052832	0.056416	0.764224	15.186240
4	51	1	1	1	16	0.027328	2.956640	0.034784	1.064832	0.060768	0.762144	8.605024
4	51	1	1	1	21	0.028736	3.102112	0.023904	1.077536	0.061440	0.768736	8.564448
4	51	1	1	1	26	0.027296	3.254752	0.024096	1.028352	0.060000	0.782912	10.868576
4	51	1	1	1	31	0.028256	3.430432	0.024032	1.081920	0.062528	0.762784	14.252544
4	51	1	1	1	36	0.027776	3.597888	0.023840	1.049952	0.061920	0.768832	11.280224
4	51	1	1	6	1	0.027616	2.888736	0.034848	1.065088	0.060960	0.762464	9.120736
4	51	1	1	6	6	0.027136	3.050304	0.024064	1.050368	0.062016	0.761568	7.983712
4	51	1	1	6	11	0.027648	3.210688	0.034592	1.046272	0.060704	0.762528	8.752320
4	51	1	1	6	16	0.027392	3.369248	0.034752	1.025824	0.060192	0.764928	11.207936
4	51	1	1	6	21	0.027680	3.530080	0.023968	1.066240	0.060416	0.766208	12.895840
4	51	1	1	6	26	0.028000	3.682816	0.024128	1.072640	0.065504	0.767168	9.510560
4	51	1	1	6	31	0.027776	3.859936	0.035808	1.034880	0.060448	0.765856	8.861376
4	51	1	1	6	36	0.047232	4.015264	0.034752	1.026560	0.061184	0.763936	11.218528
4	51	1	1	11	1	0.027520	3.242752	0.023680	1.043712	0.063776	0.764352	11.863200
4	51	1	1	11	6	0.027200	3.392448	0.041920	1.052096	0.060896	0.764672	8.679136
4	51	1	1	11	11	0.028288	3.567328	0.035584	1.028736	0.061728	0.762560	8.379648
4	51	1	1	11	16	0.026912	3.726880	0.034816	1.108224	0.060608	0.763072	11.393824
4	51	1	1	11	21	0.027264	3.865632	0.023936	1.029472	0.062080	0.766752	11.200608
4	51	1	1	11	26	0.027936	4.048992	0.036288	1.051744	0.062720	0.763904	10.915840
4	51	1	1	11	31	0.027584	4.209472	0.024000	1.096448	0.061152	0.786496	11.243808
4	51	1	1	11	36	0.027616	4.370240	0.034784	1.086144	0.062432	0.779328	12.891584
4	51	1	1	16	1	0.027648	3.596544	0.024096	1.041248	0.061088	0.785088	17.312096
4	51	1	1	16	6	0.027232	3.769216	0.024480	1.038848	0.060864	0.768608	13.770464
4	51	1	1	16	11	0.028032	3.925600	0.034912	1.090752	0.062080	0.765312	14.280064
4	51	1	1	16	16	0.027648	4.087744	0.024032	1.076864	0.065888	0.764672	10.077248
4	51	1	1	16	21	0.027680	4.251744	0.023872	1.090272	0.060704	0.801664	8.021344
4	51	1	1	16	26	0.027296	4.411840	0.034656	1.038720	0.060672	0.773856	12.389024
4	51	1	1	16	31	0.027968	4.585088	0.024768	1.062400	0.063520	0.765568	10.213120
4	51	1	1	16	36	0.027744	4.734304	0.034688	1.098784	0.061344	0.762976	12.472576
4	51	1	1	21	1	0.027296	3.953312	0.034656	1.113024	0.061504	1.312640	10.949248
4	51	1	1	21	6	0.027296	4.119872	0.023968	1.073184	0.062880	0.768480	12.621088
4	51	1	1	21	11	0.027520	4.284160	0.023936	1.068512	0.059776	0.765056	9.860736
4	51	1	1	21	16	0.028096	4.442176	0.025376	1.090880	0.061184	0.776672	12.237248
4	51	1	1	21	21	0.028032	4.600032	0.036192	1.089920	0.060704	0.763072	12.670688
4	51	1	1	21	26	0.027616	4.765056	0.023872	1.034112	0.062304	0.763808	11.510528
4	51	1	1	21	31	0.027360	4.912864	0.024032	1.041760	0.060704	0.764192	10.049824
4	51	1	1	21	36	0.027488	5.127584	0.023936	1.057856	0.060320	0.785856	13.263328
4	51	1	1	26	1	0.027552	4.312224	0.024064	1.038784	0.062560	0.766240	11.687328
4	51	1	1	26	6	0.027040	4.481120	0.024000	1.052224	0.062336	0.765984	11.404672
4	51	1	1	26	11	0.027584	4.639008	0.034560	1.055680	0.061504	0.784768	11.739360
4	51	1	1	26	16	0.027296	4.803904	0.034880	1.065440	0.061984	0.782336	12.256352
4	51	1	1	26	21	0.027648	4.962272	0.023936	1.027904	0.061088	0.777376	9.790112
4	51	1	1	26	26	0.027776	5.126496	0.023680	0.999648	0.060768	0.762176	10.316096
4	51	1	1	26	31	0.027200	5.284256	0.024672	1.061536	0.061536	0.765280	9.003680
4	51	1	1	26	36	0.027808	5.434656	0.035104	1.062432	0.062112	0.766464	10.377984
4	51	1	1	31	1	0.027008	4.675072	0.024128	1.045504	0.060800	0.773888	12.820192
4	51	1	1	31	6	0.027776	4.837152	0.035456	1.055296	0.061952	0.766592	10.658400
4	51	1	1	31	11	0.027840	5.004032	0.023904	1.039552	0.060448	0.765056	11.014688
4	51	1	1	31	16	0.028032	5.163648	0.023936	0.997696	0.062240	0.768384	10.853248
4	51	1	1	31	21	0.027712	5.325632	0.034752	1.035328	0.060256	0.764576	10.385280
4	51	1	1	31	26	0.028512	5.486208	0.034656	1.077920	0.062560	0.767680	10.459936
4	51	1	1	31	31	0.027680	5.646112	0.034848	1.053216	0.063424	0.762144	14.466496
4	51	1	1	31	36	0.028160	5.806016	0.024224	1.063584	0.061312	0.764608	12.174784
4	51	1	1	36	1	0.027264	5.015264	0.036096	1.027456	0.062144	0.763648	10.372320
4	51	1	1	36	6	0.027776	5.181856	0.024064	1.071520	0.062080	0.785056	12.476864
4	51	1	1	36	11	0.027232	5.347840	0.034816	1.041536	0.061952	0.781408	13.238240
4	51	1	1	36	16	0.027712	5.498656	0.024064	1.076640	0.062816	0.764992	11.287040
4	51	1	1	36	21	0.028032	5.661984	0.025312	1.044352	0.062048	0.765472	12.156320
4	51	1	1	36	26	0.028160	5.828640	0.024384	1.026400	0.063200	0.803104	10.960224
4	51	1	1	36	31	0.027296	5.987872	0.025184	1.080704	0.061216	0.769248	12.913504
4	51	1	1	36	36	0.027648	6.147584	0.024000	1.044544	0.110304	0.786912	14.861152
4	51	1	6	1	1	0.027968	0.556160	0.027648	0.946848	0.072512	0.671264	7.888768
4	51	1	6	1	6	0.026912	0.593312	0.023904	0.971616	0.073280	0.670720	7.006368
4	51	1	6	1	11	0.021824	0.603232	0.021728	0.728704	0.061152	0.520160	4.951296
4	51	1	6	1	16	0.022144	0.652768	0.021664	0.728928	0.061536	0.518176	5.972640
4	51	1	6	1	21	0.022080	0.726688	0.022176	0.724256	0.061216	0.532288	6.894400
4	51	1	6	1	26	0.021984	0.713152	0.022432	0.760320	0.060128	0.517536	6.967808
4	51	1	6	1	31	0.021792	0.752128	0.022240	0.783904	0.056320	0.517312	5.645888
