Tesla K20c
Repeating	Image size	scale_xy	scale_eps	kernel_xy_size	kernel_eps_size	cubefilling	convolution	slicing	time to allocate	time copy memory	time to free	komplete time

7	51	1	1	1	1	0.025472	1.489888	0.035264	1.323072	0.069728	0.824032	19.285728
7	51	1	1	1	6	0.024160	1.607808	0.024704	1.302720	0.055776	0.848864	9.581696
7	51	1	1	1	11	0.024288	1.899552	0.026336	1.302560	0.057664	0.818400	11.370208
7	51	1	1	1	16	0.022752	2.213408	0.026528	1.426304	0.057984	0.818496	10.838976
7	51	1	1	1	21	0.024096	2.519776	0.026432	1.304384	0.059168	0.819520	15.078336
7	51	1	1	1	26	0.024128	2.849760	0.025344	1.338720	0.066912	0.822624	12.492416
7	51	1	1	1	31	0.024256	3.126336	0.026528	1.324256	0.055680	0.832896	13.664064
7	51	1	1	1	36	0.023936	3.194720	0.025984	1.312128	0.058272	0.839264	14.388128
7	51	1	1	6	1	0.024224	1.919104	0.025312	1.301056	0.054720	0.836192	9.113888
7	51	1	1	6	6	0.024000	2.054016	0.026880	1.394112	0.058144	0.820224	12.806368
7	51	1	1	6	11	0.065728	2.344992	0.027456	1.434720	0.058080	0.821888	12.443616
7	51	1	1	6	16	0.024128	2.664768	0.025760	1.371168	0.059680	0.820672	10.645632
7	51	1	1	6	21	0.024128	2.963616	0.026176	1.328384	0.056128	0.838080	12.787104
7	51	1	1	6	26	0.024096	3.276768	0.025184	1.310400	0.057440	0.843296	12.100672
7	51	1	1	6	31	0.023776	3.585664	0.026400	1.401440	0.058496	0.821472	15.835936
7	51	1	1	6	36	0.024096	3.656416	0.031584	1.409504	0.058176	0.821248	14.183136
7	51	1	1	11	1	0.038944	2.604128	0.026272	1.418176	0.058880	0.821312	12.047968
7	51	1	1	11	6	0.023232	2.741536	0.026560	1.411200	0.057856	0.820480	12.759008
7	51	1	1	11	11	0.024416	3.029184	0.026688	1.300576	0.058816	0.820992	11.273632
7	51	1	1	11	16	0.024256	3.382944	0.025888	1.305152	0.055328	0.833856	16.353439
7	51	1	1	11	21	0.024000	3.648512	0.025760	1.306784	0.054688	0.833024	14.606944
7	51	1	1	11	26	0.024032	3.956032	0.024960	1.343648	0.057216	0.834912	12.930880
7	51	1	1	11	31	0.024000	4.258752	0.026112	1.305760	0.056416	0.829856	14.482400
7	51	1	1	11	36	0.024320	4.329216	0.024928	1.328256	0.054880	0.836576	12.549824
7	51	1	1	16	1	0.044256	3.311264	0.026336	1.626016	0.058048	0.821952	12.194048
7	51	1	1	16	6	0.030880	3.448352	0.026528	1.439264	0.058688	0.821696	13.654016
7	51	1	1	16	11	0.023200	3.739296	0.025568	1.526688	0.058336	0.839904	15.741632
7	51	1	1	16	16	0.023104	4.053088	0.025664	1.432928	0.058144	0.832864	15.422528
7	51	1	1	16	21	0.022944	4.363808	0.026304	1.428192	0.059488	0.832352	11.850784
7	51	1	1	16	26	0.024128	4.659232	0.026624	1.300832	0.057600	0.828800	15.093664
7	51	1	1	16	31	0.023904	4.967296	0.026496	1.315200	0.057952	0.821824	14.992384
7	51	1	1	16	36	0.024064	5.038144	0.030400	1.308128	0.059680	0.823616	13.869504
7	51	1	1	21	1	0.023840	4.013792	0.027968	1.097152	0.061952	0.841536	11.883424
7	51	1	1	21	6	0.024000	4.155424	0.026592	1.108992	0.058272	0.836576	14.330976
7	51	1	1	21	11	0.023904	4.442912	0.025856	1.117472	0.058880	0.835968	11.821088
7	51	1	1	21	16	0.023968	4.758496	0.026496	1.116128	0.070048	0.823008	16.643616
7	51	1	1	21	21	0.024192	5.068384	0.025152	1.131328	0.058592	0.835872	14.168224
7	51	1	1	21	26	0.041216	5.373184	0.025984	1.134816	0.059264	0.834752	14.779968
7	51	1	1	21	31	0.024160	5.674784	0.024384	1.128160	0.060448	0.840544	17.763041
7	51	1	1	21	36	0.024128	5.741632	0.025248	1.113568	0.058912	0.838144	16.686527
7	51	1	1	26	1	0.041024	4.718144	0.025600	1.130464	0.058752	0.837696	15.101280
7	51	1	1	26	6	0.023936	4.856800	0.024416	1.116128	0.061440	0.846240	13.888672
7	51	1	1	26	11	0.023936	5.144416	0.025312	1.109376	0.060864	0.844096	11.120480
7	51	1	1	26	16	0.024224	5.498880	0.026080	1.124576	0.061184	0.827904	16.813120
7	51	1	1	26	21	0.023808	5.767200	0.023904	1.109632	0.059200	0.854400	17.053921
7	51	1	1	26	26	0.024032	6.079744	0.024416	1.113184	0.060128	0.843648	14.211232
7	51	1	1	26	31	0.032256	6.375040	0.024736	1.125504	0.061152	0.840672	15.090400
7	51	1	1	26	36	0.023936	6.450048	0.025248	1.108416	0.058464	0.837504	12.276512
7	51	1	1	31	1	0.023904	5.417568	0.028960	1.106336	0.060960	0.837440	16.465504
7	51	1	1	31	6	0.024192	5.551232	0.025728	1.126560	0.060544	0.834944	14.139456
7	51	1	1	31	11	0.023840	5.843584	0.024928	1.143648	0.059328	0.842560	17.184193
7	51	1	1	31	16	0.024224	6.159104	0.024896	1.108640	0.059008	0.833888	13.353568
7	51	1	1	31	21	0.024128	6.462016	0.024960	1.131776	0.100800	0.848160	14.884704
7	51	1	1	31	26	0.023968	6.773376	0.025856	1.106912	0.064768	0.843200	14.587360
7	51	1	1	31	31	0.024512	7.078272	0.025152	1.125344	0.059488	0.840064	16.421856
7	51	1	1	31	36	0.024288	7.145856	0.025184	1.105920	0.101376	0.840512	15.759968
7	51	1	1	36	1	0.024128	5.583776	0.025632	1.107744	0.057792	0.842880	16.568256
7	51	1	1	36	6	0.023968	5.708352	0.025344	1.109952	0.058208	0.838496	11.809376
7	51	1	1	36	11	0.024672	5.998464	0.025024	1.113760	0.098080	0.839264	16.160353
7	51	1	1	36	16	0.024160	6.311680	0.025248	1.110112	0.061440	0.842240	16.007135
7	51	1	1	36	21	0.023936	6.620512	0.026816	1.107712	0.059040	0.836320	15.297376
7	51	1	1	36	26	0.024000	6.937088	0.027520	1.109888	0.098400	0.834304	12.971360
7	51	1	1	36	31	0.023840	7.233408	0.024896	1.105952	0.058464	0.834048	17.146048
